Tamb,P(kW),Qch(tons)
7.341666667,0,0
8.441666667,0,0
9.541666667,65.65510771,187.1375065
10.99166667,16.85749805,41.12004336
11.99166667,0,0
12.2,0,0
11.90833333,0,0
11.05833333,0,0
9.608333333,0,0
8.55,0,0
8.008333333,0,0
8.091666667,0,0
8.3,0,0
8.3,0,0
7.658333333,0,0
7.2,0,0
6.558333333,0,0
6.1,0,0
6.1,0,0
6.1,0,0
5.808333333,0,0
5.25,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5.35,0,0
5.6,0,0
5.891666667,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.1,0,0
6.45,0,0
6.7,0,0
6.991666667,0,0
7.2,0,0
7.2,0,0
7.2,0,0
7.2,0,0
7.2,0,0
7.2,0,0
7.2,0,0
7.841666667,0,0
8.3,0,0
8.941666667,0,0
10.1,0,0
10.6,0,0
10.6,0,0
10.89166667,0,0
10.80833333,0,0
10.25,0,0
9.65,0,0
9.108333333,0,0
7.908333333,0,0
7.2,0,0
6.558333333,0,0
5.808333333,0,0
5.25,0,0
4.65,0,0
4.4,0,0
4.4,0,0
4.108333333,0,0
4.191666667,0,0
5.1,0,0
6.533333333,0,0
8.191666667,0,0
9.891666667,0,0
11.24166667,0,0
11.99166667,0,0
12.55,0,0
12.8,0,0
12.15833333,0,0
10.35833333,0,0
9.108333333,0,0
9.191666667,0,0
9.4,0,0
9.108333333,0,0
8.9,0,0
8.258333333,0,0
7.45,0,0
6.908333333,0,0
6.7,0,0
6.7,0,0
6.7,0,0
6.35,0,0
6.1,0,0
6.45,0,0
6.991666667,0,0
7.55,0,0
8.733333333,0,0
10.39166667,0,0
12.09166667,0,0
14.08333333,0,0
15.35,0,0
15.89166667,57.3343368,164.252943
15.45833333,82.65852198,234.7632718
15,25.43231978,71.08560946
14.35833333,53.81486632,147.6444004
14.19166667,20.64575902,51.80140195
14.10833333,0,0
13.9,0,0
13.55,0,0
13.00833333,0,0
12.8,0,0
12.45,0,0
11.90833333,0,0
11.7,0,0
11.05833333,0,0
10.6,0,0
10.6,0,0
11.24166667,0,0
12.63333333,0,0
13.65,0,0
14.54166667,0,0
15,0,0
14.65,0,0
14.75,0,0
15,0,0
14.35833333,0,0
13.55,0,0
13.3,0,0
13.00833333,0,0
12.45,0,0
10.91666667,0,0
8.716666667,0,0
7.158333333,0,0
6.7,0,0
6.35,0,0
5.808333333,0,0
5.891666667,0,0
6.1,0,0
5.458333333,0,0
4.358333333,0,0
3.258333333,0,0
2.8,0,0
2.158333333,0,0
1.7,0,0
1.991666667,0,0
1.908333333,0,0
2.341666667,0,0
2.45,0,0
2.2,0,0
1.908333333,0,0
1.35,0,0
1.1,0,0
1.1,0,0
1.45,0,0
1.991666667,0,0
2.2,0,0
2.2,0,0
2.2,0,0
2.2,0,0
2.55,0,0
2.8,0,0
2.8,0,0
2.8,0,0
2.8,0,0
2.8,0,0
3.091666667,0,0
3.941666667,0,0
4.75,0,0
5.991666667,0,0
